  alt.atheism    comp.graphics    comp.os.ms-windows.misc    comp.sys.ibm.pc.hardware    comp.sys.mac.hardware    comp.windows.x    misc.forsale    rec.autos    rec.motorcycles    rec.sport.baseball    rec.sport.hockey    sci.crypt    sci.electronics    sci.med    sci.space    soc.religion.christian    talk.politics.guns    talk.politics.mideast    talk.politics.misc    talk.religion.misc
-------------  ---------------  -------------------------  --------------------------  -----------------------  ----------------  --------------  -----------  -----------------  --------------------  ------------------  -----------  -----------------  ---------  -----------  ------------------------  --------------------  -----------------------  --------------------  --------------------
          172                4                          6                           0                        1                 0               0            1                  5                     8                   6            4                  2          7           11                        22                    15                       21                    26                    50
            1              279                         77                          11                       14                57               2            2                  2                     3                   2            7                 20          5           13                         5                     0                        1                     2                     3
            0                0                          1                           0                        1                 1               0            0                  0                     0                   0            0                  0          0            0                         0                     0                        0                     0                     0
            1               16                        136                         280                       30                10              29            2                  1                     0                   0            2                 29          3            1                         1                     0                        1                     0                     1
            0               22                         44                          50                      273                12              29            1                  2                     1                   0            6                 18          2            0                         1                     0                        0                     0                     0
            2               19                         62                           5                        1               285               0            0                  1                     1                   0            1                  0          0            1                         0                     1                        3                     0                     0
            0                2                          2                           7                        6                 3             272            8                  3                     3                   0            0                  5          2            0                         0                     2                        0                     1                     0
            5                2                          2                           3                        7                 0              11          293                 32                     4                   3            0                 20          7           10                         1                     5                        2                     6                     1
            3                3                          4                           0                        3                 3               8           27                295                     6                   6            6                  5          7            6                         0                     4                        3                     5                     3
            2                1                          0                           1                        0                 0               2            1                  4                   314                  23            3                  1          0            0                         1                     0                        1                     0                     2
            9                5                         15                           7                       14                 5              10           25                 13                    20                 328           16                 11         14           18                        14                    11                        6                     7                     7
            2               15                          9                           4                        6                 6               1            2                  1                     4                   3          285                 33          1            1                         1                     6                        5                     3                     2
            1                5                          5                          21                       19                 2               6           10                 10                     2                   1            8                222          7            6                         0                     3                        0                     1                     4
            2                3                          4                           1                        1                 4               1            1                  4                     3                   1            3                  8        300            6                         0                     3                        0                     6                     3
            6                6                          9                           0                        4                 1               8            3                  0                     2                   2            7                 10          4          277                         1                     3                        0                     6                     4
           54                4                          3                           0                        2                 2               3            4                  6                    10                   5            7                  3         13            9                       330                    15                       25                     7                    78
            9                0                          0                           1                        1                 1               3            4                  9                     6                   1           15                  2          4            2                         2                   226                        8                    84                    17
            9                1                          0                           0                        0                 0               1            2                  2                     1                   4            7                  1          5            6                         1                    15                      269                    13                    11
           13                2                         11                           1                        1                 2               3            9                  6                     9                  12           17                  3         12           24                         2                    34                       25                   133                     9
           28                0                          4                           0                        1                 1               1            1                  2                     0                   2            2                  0          3            3                        16                    21                        6                    10                    56
